role,seed,transform,feature_mode,threshold,feature_seconds,head_seconds,images_per_second,peak_gpu_memory_mib,total_parameters,trainable_parameters,accuracy,balanced_accuracy,precision,real_recall,fake_recall,binary_f1,macro_f1,auroc,auprc,auroc_delta_from_clean,auprc_delta_from_clean,balanced_accuracy_delta_from_clean
B2,43,blur,final,0.5,172.9988541919738,0.05318981601158157,23.114433712296528,,151540482.0,263169.0,0.89375,0.89375,0.8681626928471248,0.859,0.9285,0.8973181928001933,0.8936215413625417,0.9597182500000001,0.9578805088646652,-0.02462437499999992,-0.02413581339609272,-0.04125000000000001
B2,44,blur,final,0.5,172.9988541919738,0.06011322801350616,23.11350899426448,,151540482.0,263169.0,0.901,0.901,0.8927522037218414,0.8905,0.9115,0.9020286986640277,0.9009890840465161,0.95823325,0.9565090617525127,-0.025785999999999976,-0.025313599820539934,-0.030749999999999944
A1,42,clean,penultimate,0.5,,,,,,,0.93625,0.93625,0.9693383539537386,0.9715,0.901,0.933920704845815,0.9361706880906208,0.9880475,0.9872634423787168,0.0,0.0,0.0
A1,43,clean,penultimate,0.5,,,,,,,0.9405,0.9405,0.9666313559322034,0.9685,0.9125,0.9387860082304528,0.940453315399273,0.9882495,0.9874550573435102,0.0,0.0,0.0
A1,44,clean,penultimate,0.5,,,,,,,0.93425,0.93425,0.9712425393380358,0.9735,0.895,0.9315638823835544,0.9341485517282218,0.98828625,0.9875277507743088,0.0,0.0,0.0
A1,42,jpeg,penultimate,0.5,138.60972962202504,0.08153875701827928,28.841036979112467,,151540482.0,263169.0,0.9255,0.9255,0.9079578139980825,0.904,0.947,0.9270680372001958,0.9254655464488459,0.9786202500000001,0.9784353473720526,-0.009427249999999887,-0.00882809500666415,-0.010750000000000037
A1,43,jpeg,penultimate,0.5,138.60972962202504,0.06680594600038603,28.84410101258888,,151540482.0,263169.0,0.92225,0.92225,0.8948106591865358,0.8875,0.957,0.9248610775549649,0.9221559985029422,0.97900275,0.9787819839262055,-0.00924674999999997,-0.008673073417304722,-0.01824999999999999
A1,44,jpeg,penultimate,0.5,138.60972962202504,0.057049891009228304,28.846130371290634,,151540482.0,263169.0,0.92975,0.92975,0.9170305676855895,0.9145,0.945,0.9308052203890668,0.9297336586839977,0.9790329999999999,0.9789264547795078,-0.009253250000000102,-0.008601295994800973,-0.0045000000000000595
A1,42,resize,penultimate,0.5,156.22450781799853,0.04417793400352821,25.5969388924662,,151540482.0,263169.0,0.907,0.907,0.9013806706114399,0.9,0.914,0.9076464746772592,0.9069954427766961,0.9673275000000001,0.9672810119432812,-0.02071999999999985,-0.019982430435435572,-0.029249999999999998
A1,43,resize,penultimate,0.5,156.22450781799853,0.06761192201520316,25.593100961544668,,151540482.0,263169.0,0.909,0.909,0.8928914505283382,0.8885,0.9295,0.910828025477707,0.9089617411717275,0.96792975,0.9678788962975153,-0.02031974999999997,-0.01957616104599491,-0.03149999999999997
